algorithm,min,max,mean,std,median,1_quart,3_quart
FDA,1.5983280285458288,6.137781986385073,6.045297249633544,0.49164989905688056,6.137781971449609,6.137704387004126,6.13778198638506
DIRECT,1.594679574378664,2.4476056124686028,1.893947745932109,0.15814527605448303,1.8897072290161023,1.7746646262597243,1.9872494679968205
DIRECTL,1.6168245248252204,2.6440380032948205,2.5904154382475673,0.17110473099779858,2.6382794913668914,2.636837237116169,2.6399857682429855
DIRECTR,1.6091651888687235,3.781025809674944,2.818706892466949,0.5923109342124288,2.927598281858816,2.328982916620721,3.258734384771454
SOO,1.6180477551800565,2.8855123722188005,2.2844200260121537,0.37375245696211756,2.3209073282223414,1.9050398069173773,2.62049033071651
DIRECTBs,1.6168245248252204,3.9410354124262295,3.695059218515364,0.5307877811717021,3.9407351767709966,3.845208325915212,3.941034331485636
FDABs,1.5983280285458288,6.137781986385073,6.045297249633544,0.49164989905688056,6.137781971449609,6.137704387004126,6.13778198638506
FDADBs,1.6061716408740228,6.137781986385073,5.5156080362157445,0.9268270185805588,5.919358513664538,5.302717788746202,6.113491928088385
FDAC,1.6058285544833275,6.137781986385074,6.046164384970486,0.48993427672813433,6.137781965784943,6.137662518395959,6.137781986385065
FDAD,1.6061716408740228,6.137781986385073,5.5156080362157445,0.9268270185805588,5.919358513664538,5.302717788746202,6.113491928088385
SOOBs,1.6338602186471811,2.900764798547601,2.8793799176773627,0.024177484365231604,2.880095460974298,2.8763365237674643,2.883788797971518
Efficient Frontier,0,6.137781986385074,0,0,0,0,0
